,pred1,exp,diif,squared,cutIdeal,cutNot.Ideal,channelIndependent,channelInternet,channelMall,storeAshford,storeAusmans,storeBlue.Nile,storeChalmers,storeDanford,storeFred.Meyer,storeGoodmans,storeKay,storeR..Holland,storeRiddles,storeUniversity,storeZales,carat,color,clarity,price,
343,8.5253158238,5040.7785522446,-519.2214477554,"269,590.91",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.05,2,8,5560,
409,9.9584208674,21129.4032291748,3679.4032291748,"13,538,008.12",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.01,5,6,17450,
387,9.2710483073,10625.8852429834,-1254.1147570166,"1,572,803.82",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,4,6,11880,
172,8.3668113021,4301.8967201274,-710.1032798726,"504,246.67",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.08,6,6,5012,
168,8.6665378411,5805.365418443,-1984.634581557,"3,938,774.42",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.01,2,5,7790,
75,7.6310401518,2061.1928586175,381.1928586175,"145,308.00",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.35,5,8,1680,
108,9.5114288755,13513.2893361063,2269.2893361063,"5,149,674.09",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.66,3,8,11244,
16,8.6114215324,5494.0531038883,-909.9468961118,"828,003.35",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.05,3,7,6404,
416,6.9996441959,1096.2430412253,599.2430412253,"359,092.22",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2,6,9,497,
389,9.3837026952,11892.9693689843,-17.0306310157,290.04,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.62,5,5,11910,
17,8.3704643236,4317.6403795829,-1158.3596204171,"1,341,797.01",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.01,5,7,5476,
379,9.061150439,8614.05490027,-1515.9450997301,"2,298,089.55",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,5,7,10130,
43,8.1985287417,3635.5974676102,-714.4025323898,"510,370.98",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,7,8,4350,
241,8.0756814768,3215.3177868287,-432.6822131713,"187,213.90",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3648,
341,8.3187209901,4099.9128241424,-1450.0871758576,"2,102,752.82",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.01,5,7,5550,
98,10.131909196,25132.3011455937,5644.3011455937,"31,858,135.42",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.9,4,3,19488,
294,7.4728087685,1759.5418973279,665.5418973279,"442,946.02",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.39,4,6,1094,
70,8.2256440971,3735.5266702723,-2719.4733297277,"7,395,535.19",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.69,6,6,6455,
412,7.6358895453,2071.212669252,472.212669252,"222,984.81",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.75,9,9,1599,
348,8.5497579186,5165.5038033158,-1014.4961966842,"1,029,202.53",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.08,3,7,6180,
420,8.5161427615,4994.7506078287,-2145.2493921713,"4,602,094.95",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.05,6,7,7140,
417,8.9256902672,7522.7742655785,172.7742655785,"29,850.95",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.5,9,8,7350,
41,8.7650161497,6406.1654022177,-2292.8345977823,"5,257,090.49",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.01,5,7,8699,
411,8.0447752677,3117.4644299282,118.4644299281,"14,033.82",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,9,9,2999,
384,9.5170063843,13588.8704074688,1748.8704074688,"3,058,547.70",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.71,3,8,11840,
247,8.1098266151,3327.0011279619,180.0011279619,"32,400.41",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.61,3,3,3147,
34,10.5359769871,37645.8118177227,27646.8118177227,"764,346,203.68",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.37,7,9,9999,improve linearity with carat
256,7.8248039877,2501.8956604696,-109.1043395304,"11,903.76",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.71,6,5,2611,
400,9.4465838005,12664.8257068932,-1155.1742931068,"1,334,427.65",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,2,6,13820,
51,7.7568884468,2337.6196495039,567.6196495039,"322,192.07",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.59,6,4,1770,
104,9.0968150003,8926.8154730353,1032.8154730353,"1,066,707.80",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.58,7,6,7894,
423,7.7228134115,2259.3070076713,-1129.6929923287,"1,276,206.26",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.58,7,6,3389,
162,8.7745906947,6467.7960933513,-1707.2039066488,"2,914,545.18",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,2,5,8175,
225,8.0510572849,3137.1100376952,-102.8899623048,"10,586.34",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,5,4,3240,
248,8.0984720543,3289.4381507322,-58.5618492678,"3,429.49",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.77,4,5,3348,
192,8.1809109821,3572.1073049879,-684.8926950121,"469,078.00",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,7,6,4257,
259,8.037162114,3093.8208095874,-15.1791904127,230.41,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,3,7,3109,
194,8.1809109821,3572.1073049879,-684.8926950121,"469,078.00",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,7,6,4257,
167,8.6665378411,5805.365418443,-1566.634581557,"2,454,343.91",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.01,2,5,7372,
332,8.3168873757,4092.4020529574,-777.5979470426,"604,658.57",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.06,6,6,4870,
69,8.6595985578,5765.2197954509,816.2197954509,"666,214.75",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.03,6,7,4949,
133,8.7653321978,6408.1903782605,-674.8096217395,"455,368.03",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.27,5,6,7083,
121,9.221006046,10107.2275508217,-589.7724491783,"347,831.54",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.51,5,5,10697,
193,8.1809109821,3572.1073049879,-763.8926950121,"583,532.05",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,7,6,4336,
188,8.264521741,3883.6151597599,-641.3848402401,"411,374.51",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,6,7,4525,
243,8.527607744,5052.3448639596,22.3448639596,499.29,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.91,1,6,5030,
147,8.8623584414,7061.1163510405,-1383.8836489595,"1,915,133.95",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8445,
323,8.1282292086,3388.7934025622,-101.2065974378,"10,242.78",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.73,2,6,3490,
267,7.8913975344,2674.1785668626,461.1785668626,"212,685.67",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,2,5,2213,
177,8.6255582203,5572.2723959668,-1792.7276040332,"3,213,872.26",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,7365,
130,8.9133386947,7430.4276608029,-658.5723391971,"433,717.53",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.17,5,2,8089,
254,8.2717293867,3911.7080018075,-303.2919981925,"91,986.04",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.73,2,4,4215,
211,8.5566061605,5200.9998269898,-733.0001730102,"537,289.25",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,2,7,5934,
397,9.4037705654,12134.0467991085,-1625.9532008915,"2,643,723.81",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.54,4,4,13760,
42,8.4208523608,4540.7721822127,-959.2278177873,"920,118.01",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,7,5500,
268,7.8913975344,2674.1785668626,441.1785668626,"194,638.53",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,2,5,2233,
378,9.061150439,8614.05490027,-1515.9450997301,"2,298,089.55",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,5,7,10130,
345,8.3802130275,4359.9376138106,-1210.0623861895,"1,464,250.98",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.03,4,7,5570,
367,8.9439397294,7661.3212085084,-1048.6787914916,"1,099,727.21",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.3,4,6,8710,
255,7.8248039877,2501.8956604696,-2.1043395304,4.43,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.71,6,5,2504,
44,8.588119091,5367.5083800122,-532.4916199878,"283,547.33",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,4,6,5900,
57,8.6005501541,5434.6486631332,-765.3513368668,"585,762.67",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.007,2,7,6200,
134,8.7794094658,6499.038135705,-904.961864295,"818,955.98",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.24,5,5,7404,
337,8.3146092148,4083.0895145441,-786.9104854559,"619,228.11",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.02,6,5,4870,
77,8.2568077155,3853.7721064836,354.7721064836,"125,863.25",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.72,5,8,3499,
128,8.7483501253,6300.284848001,-712.715151999,"507,962.89",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.2,6,4,7013,
131,8.8411187401,6912.721855286,342.721855286,"117,458.27",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.37,6,6,6570,
146,8.8623584414,7061.1163510405,-1307.8836489595,"1,710,559.64",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8369,
284,7.6688566784,2140.6326141347,869.6326141347,"756,260.88",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,2,5,1271,
149,8.8623584414,7061.1163510405,-1460.8836489595,"2,134,181.04",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,5,8522,
415,7.0814213403,1189.658226636,590.6582266359,"348,877.14",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.25,6,9,599,
9,8.7001351678,6003.7236726305,108.7236726305,"11,820.84",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.74,1,9,5895,
403,9.9747762963,21477.8252098954,4377.8252098954,"19,165,353.57",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.02,5,6,17100,
136,8.7224737501,6139.347530522,125.347530522,"15,712.00",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.3,6,7,6014,
356,8.4841541059,4837.5037179082,-1362.4962820918,"1,856,396.12",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.07,5,5,6200,
12,8.5177542322,5002.80599096,-231.19400904,"53,450.67",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.085,4,8,5234,
67,7.6985227913,2205.0882093817,830.0882093817,"689,046.44",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.32,3,8,1375,
304,7.8009385336,2442.893639697,432.893639697,"187,396.90",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.56,4,4,2010,
361,8.66196776,5778.8949599848,-1331.1050400152,"1,771,840.63",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.11,3,6,7110,
125,8.724352577,6150.893144373,-343.106855627,"117,722.31",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.26,6,5,6494,
240,8.0756814768,3215.3177868287,-92.6822131713,"8,589.99",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3308,
189,8.264521741,3883.6151597599,-806.3848402401,"650,256.51",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,6,7,4690,
396,9.9337966755,20615.4624069466,6875.4624069467,"47,271,983.31",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.01,6,5,13740,
203,8.2159000008,3699.3041034151,-297.6958965849,"88,622.85",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.08,7,7,3997,
205,8.3315598341,4152.8903227888,-1042.1096772112,"1,085,992.58",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9,3,7,5195,
381,10.1203587788,24843.6826235347,14663.6826235347,"215,023,588.08",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.27,8,6,10180,
291,7.6460661009,2092.3980947205,849.3980947205,"721,477.12",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.35,2,5,1243,
81,7.9591421006,2861.6169196547,162.6169196547,"26,444.26",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.72,7,9,2699,
280,7.7895525197,2415.2365695762,213.2365695762,"45,469.83",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.53,3,6,2202,
59,8.2707412252,3907.844511554,-942.155488446,"887,656.96",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.02,6,7,4850,
369,8.8476859829,6958.2687730997,-1781.7312269004,"3,174,566.16",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2,4,4,8740,
181,8.4827335848,4830.6368203882,-1749.3631796118,"3,060,271.53",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,5,4,6580,
424,7.5572541073,1914.581054727,64.581054727,"4,170.71",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.395,4,8,1850,
27,8.7138719942,6086.7648376998,86.7648376998,"7,528.14",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.11,5,8,6000,
29,8.4321172617,4592.212723378,692.2127233779,"479,158.45",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.03,6,9,3900,
238,8.3011271372,4028.4104070675,-738.5895929325,"545,514.59",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92,3,8,4767,
276,7.73221747,2280.653879348,295.653879348,"87,411.22",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.51,4,5,1985,
68,8.7858856673,6541.2637992984,242.2637992984,"58,691.75",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.03,6,5,6299,
234,8.4808196182,4821.3999848939,-151.6000151062,"22,982.56",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92,1,7,4973,
312,7.9539458987,2846.7859460358,796.7859460358,"634,867.84",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.63,5,2,2050,
233,8.2297148195,3750.7639547072,-587.2360452928,"344,846.17",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.93,4,8,4338,
49,8.2195788747,3712.9384409412,-677.0615590588,"458,412.35",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.92,4,8,4390,
376,9.2259569113,10157.3911466482,107.3911466482,"11,532.86",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,6,3,10050,
263,7.912309285,2730.6891302169,608.6891302169,"370,502.46",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.59,2,7,2122,
285,7.5032414655,1813.9126304347,704.9126304347,"496,901.82",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.37,4,5,1109,
35,9.419677852,12328.6099430751,2829.6099430751,"8,006,692.43",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.5,6,7,9499,
178,8.6255582203,5572.2723959668,-2137.7276040332,"4,569,879.31",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,7710,
422,7.3490077563,1554.6531674144,12.6531674144,160.10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.375,6,8,1542,
25,8.7683022395,6427.2512628359,-2472.7487371642,"6,114,486.32",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.03,5,6,8900,
264,7.912309285,2730.6891302169,429.6891302169,"184,632.75",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.59,2,7,2301,
129,8.9133386947,7430.4276608029,-658.5723391971,"433,717.53",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.17,5,2,8089,
124,8.9986824269,8092.4145528088,862.4145528088,"743,758.86",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.52,7,6,7230,
271,7.897832683,2691.4427926527,389.4427926527,"151,665.69",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.54,2,5,2302,
272,7.978175547,2916.6049982721,11.6049982721,134.68,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,3,7,2905,
371,8.9909099523,8029.7602709718,-730.2397290282,"533,250.06",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.26,2,7,8760,
325,8.1503931425,3464.7409346893,-25.2590653107,638.02,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.72,3,4,3490,
185,8.4990890137,4910.2935920843,-1084.7064079157,"1,176,587.99",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.03,5,4,5995,
232,8.6139412102,5507.913802377,-186.086197623,"34,628.07",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,8,5694,
395,10.1772492821,26298.0292542175,12598.0292542175,"158,710,341.09",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.2,6,7,13700,Carat-target linearity
230,8.6139412102,5507.913802377,-186.086197623,"34,628.07",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,1,8,5694,
385,9.799240803,18020.0589594364,6180.0589594364,"38,193,128.74",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.02,7,6,11840,
258,7.9448380457,2820.9755551964,296.9755551964,"88,194.48",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.64,4,5,2524,
308,7.9029656453,2705.2933840545,665.2933840545,"442,615.29",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,5,2040,
239,8.0616042088,3170.3719957277,-102.6280042723,"10,532.51",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,4,6,3273,
152,8.5421646983,5126.4295324372,-762.5704675628,"581,513.72",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.11,6,4,5889,
296,7.4868860366,1784.4866049701,705.4866049701,"497,711.35",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.36,4,5,1079,
306,7.8787407874,2640.5454572569,630.5454572569,"397,587.57",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.58,2,7,2010,
242,8.0756814768,3215.3177868287,-102.6822131713,"10,543.64",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3318,
,,,,"10,998,707.77",,,,,,,,,,,,,,,,,,,,,,
